Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,W
5,4.47,162,6113,5385,724,1388,272,20,182,686,56,26,573,1303,0.258,0.337,0.417,0.754,96,116,0.983,28.6,5.06,4.8,162,1,8,36,1394.1,1364,820,743,247,548,1346,1.371,8.69,1.59,96,116,0.983,30.1,65
2,5.39,162,6267,5512,873,1460,298,27,231,824,116,29,584,1308,0.265,0.342,0.454,0.796,87,111,0.985,28.7,4.47,4.27,162,1,13,40,1439.1,1340,724,683,202,517,1511,1.29,9.45,1.26,87,111,0.985,30.8,93
2,4.76,162,6288,5517,771,1402,284,25,191,737,119,33,631,1289,0.254,0.335,0.419,0.753,64,115,0.989,27.5,4.21,4.04,162,2,7,40,1446,1320,682,649,198,487,1417,1.25,8.82,1.23,64,115,0.989,30.2,82
1,5.06,162,6214,5553,819,1477,311,31,215,796,108,30,542,1327,0.266,0.332,0.449,0.782,86,139,0.985,29.2,4.15,3.88,162,3,5,46,1446.2,1300,672,623,189,495,1457,1.241,9.06,1.18,86,139,0.985,30.1,97
1,4.71,162,6201,5490,763,1403,268,29,203,735,121,39,536,1252,0.256,0.326,0.426,0.751,73,142,0.988,28.8,3.78,3.51,162,1,12,46,1459.2,1272,612,570,155,468,1476,1.192,9.1,0.96,73,142,0.988,29.1,95
2,4.34,162,6117,5428,703,1363,265,13,177,665,57,23,539,1344,0.251,0.321,0.403,0.724,90,125,0.985,28.4,3.92,3.62,162,4,13,41,1434.2,1366,635,577,145,364,1342,1.206,8.42,0.91,90,125,0.985,28.6,83
1,4.23,162,6216,5542,686,1403,265,27,152,635,101,23,517,1304,0.253,0.321,0.393,0.714,100,139,0.984,28.8,3.43,3.03,162,5,19,45,1470.2,1351,555,495,110,352,1288,1.158,7.88,0.67,100,139,0.984,28.3,96
2,4.05,162,6047,5436,656,1365,259,27,161,621,88,28,464,1192,0.251,0.313,0.398,0.71,107,146,0.982,27.7,3.86,3.59,162,6,13,47,1445.2,1367,626,576,142,405,1236,1.226,7.69,0.88,107,146,0.982,27.7,86
1,4.51,162,6221,5615,731,1468,301,25,194,688,105,35,479,1325,0.261,0.322,0.428,0.75,94,134,0.985,27.2,3.67,3.33,162,3,9,51,1468.1,1296,594,543,129,497,1325,1.221,8.12,0.79,94,134,0.985,27,98
3,3.88,161,6090,5441,624,1319,257,22,154,594,106,38,470,1323,0.242,0.309,0.383,0.691,104,145,0.983,28.4,3.99,3.58,161,3,10,49,1449.1,1403,643,577,129,477,1049,1.297,6.51,0.8,104,145,0.983,27.6,80
5,4.04,162,6100,5418,655,1355,250,31,149,634,110,41,503,1220,0.25,0.318,0.39,0.708,127,148,0.979,29.1,4.58,4.13,162,2,5,37,1435,1469,742,658,151,512,1068,1.38,6.7,0.95,127,148,0.979,28,69
5,4.38,162,6273,5493,710,1416,271,38,156,685,73,40,617,1208,0.258,0.337,0.406,0.743,143,155,0.977,28.3,5.4,5,162,6,3,33,1424.1,1533,874,791,173,629,911,1.518,5.76,1.09,143,155,0.977,27.4,59
5,3.98,161,6192,5491,641,1376,269,26,117,608,81,43,534,1095,0.251,0.323,0.373,0.696,123,143,0.98,27.7,5.12,4.66,161,2,8,28,1434,1496,825,742,190,588,1063,1.453,6.67,1.19,123,143,0.98,27.3,59
4,4.15,162,6201,5520,673,1415,309,31,123,646,69,23,524,1128,0.256,0.325,0.39,0.715,109,153,0.982,27.9,4.83,4.58,162,0,6,46,1446.2,1502,783,736,187,580,931,1.439,5.79,1.16,109,153,0.982,27.5,73
5,4.6,162,6283,5495,746,1437,322,22,164,695,123,62,594,1156,0.262,0.338,0.418,0.756,131,123,0.978,28.5,5.38,5.03,162,1,3,32,1436.1,1535,872,803,193,584,960,1.475,6.02,1.21,131,123,0.978,28.9,71
5,3.94,162,6142,5426,639,1367,311,32,117,615,45,45,491,1090,0.252,0.322,0.386,0.708,92,156,0.985,29.3,4.15,3.87,162,4,9,51,1458,1456,673,627,140,539,997,1.368,6.15,0.86,92,156,0.985,28.9,81
5,3.92,162,6138,5474,635,1361,276,27,151,605,109,38,496,925,0.249,0.313,0.392,0.705,99,172,0.984,27.5,4.75,4.33,162,11,11,31,1447,1477,769,696,191,582,1032,1.423,6.42,1.19,99,172,0.984,26.5,67
